시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
중랑우체국,서울특별시,중랑구,11260,서울특별시 중랑구 망우로 271,서울특별시 중랑구 상봉동 116-20,37.59596944,127.0827062,중랑우체국(건물 밖 오른쪽 유휴공간(실외)),9:00,18:00,0:00,0:00,0:00,0:00,2,Y,N,서울특별시 중랑구청 장애인복지과,02-2094-2483,2023-04-21,3060000,서울특별시 중랑구
시립대종합사회복지관,서울특별시,중랑구,11260,서울특별시 중랑구 신내로 115,서울특별시 중랑구 신내2동 660,37.60929753,127.0949042,서울시립대종합사회복지관(실외),9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,서울특별시 중랑구청 장애인복지과,02-2094-2483,2023-04-21,3060000,서울특별시 중랑구
신내노인종합복지관,서울특별시,중랑구,11260,서울특별시 중랑구 신내로15길 175,서울특별시 중랑구 신내동 771-1,37.61481251,127.0878892,신내노인종합복지관(실외),9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,서울특별시 중랑구청 장애인복지과,02-2094-2483,2023-04-21,3060000,서울특별시 중랑구
용마경로복지센터,서울특별시,중랑구,11260,서울특별시 중랑구 용마산로94길 98,서울특별시 중랑구 면목동 27,37.58739985,127.1018199,용마경로복지센터(정문 옆 공간(실외)),9:00,18:00,0:00,0:00,0:00,0:00,2,Y,N,서울특별시 중랑구청 장애인복지과,02-2094-2483,2023-04-21,3060000,서울특별시 중랑구
송파노인종합복지관,서울특별시,송파구,11710,서울특별시 송파구 백제고분로32길 41,서울특별시 송파구 삼전동 172-2,37.498667,127.094894,"송파노인종합복지관 실외, 1층 출입구",0:00,23:59,0:00,23:59,0:00,23:59,2,Y,Y,서울특별시 송파구,02-2147-5000,2023-06-30,3230000,서울특별시 송파구
전주시청,전라북도,전주시,46400,전라북도 전주시 완산구 노송광장로 29(본관 강당 출입방면),전라북도 전주시 완산구 서노송동 619-11,35.82426982,127.1468073,1층 입구(실외),9:00,18:00,0:00,0:00,0:00,0:00,4,Y,N,전라북도 전주시청,063-281-5193,2023-06-30,4640000,전라북도 전주시
남양주시장애인복지관,경기도,남양주시,41360,경기도 남양주시 홍유릉로 273,경기도 남양주시 금곡동 615-10,37.62700612,127.2004225,남양주시장애인복지관 1층 출입문 옆(실외),9:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,경기도 남양주시장애인복지관,031-593-7950,2023-05-10,3990000,경기도 남양주시
갓바위 해상교(달맞이 공원 인근),전라남도,목포시,46110,전라남도 목포시 상동 1119-2,,34.79343754,126.4250206,실외,0:00,23:59,0:00,23:59,0:00,23:59,1,Y,N,전라남도 목포시청,061-270-8814,2023-07-13,4800000,전라남도 목포시
하나노인복지관,전라남도,목포시,46110,전라남도 목포시 해안로229번길 9-1,,34.78618211,126.3858986,실외,9:00,18:00,0:00,0:00,0:00,0:00,1,Y,N,전라남도 목포시청,061-242-5357,2023-07-13,4800000,전라남도 목포시
용당2동주민센터,전라남도,목포시,46110,전라남도 목포시 백년대로 95-5,,34.79958671,126.3997633,실외,0:00,23:59,0:00,23:59,0:00,23:59,1,Y,N,전라남도 목포시청,061-270-4523,2023-07-13,4800000,전라남도 목포시
남양주시북부장애인복지관,경기도,남양주시,41360,경기도 남양주시 진접읍 경복대로 507-1,경기도 남양주시 진벌리 산 140-3,37.7402153,127.2155092,남양주시북부장애인복지관 1층 정문입구 옆(실외 2대),12:00,23:59,0:00,23:59,0:00,23:59,2,N,N,경기도 남양주시북부장애인복지관,031-574-2668,2023-05-10,3990000,경기도 남양주시
사)한국지체장애인협회경기도협회남양주시지회,경기도,남양주시,41360,경기도 남양주시 경춘로 883-2(금곡동),경기도 남양주시 금곡동 693-2,37.63256443,127.1998076,② 정문 입구 실외,9:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,사)한국지체장애인협회경기도협회남양주시지회,031-591-6930,2023-05-10,3990000,경기도 남양주시
삼학도 무장애길 입구,전라남도,목포시,46110,전라남도 목포시 산정동 1480-3,,34.80701849,126.3694884,실외,0:00,23:59,0:00,23:59,0:00,23:59,1,Y,N,전라남도 목포시청,061-270-8814,2023-07-13,4800000,전라남도 목포시
평화광장 2매점,전라남도,목포시,46110,전라남도 목포시 평화로 82,,34.79666213,126.4337909,실외(매점 옆),9:00,18:00,9:00,13:00,0:00,0:00,1,N,N,전라남도 목포시청,061-270-8814,2023-07-13,4800000,전라남도 목포시
평화광장 관광안내소,전라남도,목포시,46110,전라남도 목포시 평화로 82,,34.79666213,126.4337909,실외(관광안내소 앞),0:00,23:59,0:00,23:59,0:00,0:00,1,N,N,전라남도 목포시청,061-270-8814,2023-07-13,4800000,전라남도 목포시
북항노을공원,전라남도,목포시,46110,전라남도 목포시 청호로219번길 34-22,,34.80895733,126.3657649,실외(화장실 옆),0:00,23:59,0:00,23:59,0:00,0:00,1,Y,Y,전라남도 목포시청,061-270-8814,2023-07-13,4800000,전라남도 목포시
경상북도 안동시 용상동행정복지센터,경상북도,안동시,47170,경상북도 안동시 전거리1길 93(용상동),,36.5592268,128.749606,행정복지센터 출입구 앞(실외),0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,경상북도 안동시 용상동행정복지센터,054-840-4774,2023-06-28,5070000,경상북도 안동시
경상북도 안동시 태화동행정복지센터,경상북도,안동시,47170,경상북도 안동시 태화중앙로 100(태화동),,36.56116089,128.7139754,행정복지센터 앞(실외),0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,경상북도 안동시 태화동행정복지센터,054-840-4844,2023-06-28,5070000,경상북도 안동시
경상북도안동의료원,경상북도,안동시,47170,경상북도 안동시 태사2길 55(북문동),,36.56820002,128.7321552,병원건강검진센터 출입구(실외),0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,경상북도안동의료원,054-850-6271,2023-06-28,5070000,경상북도 안동시
경상북도 안동시 풍산읍행정복지센터,경상북도,안동시,47170,경상북도 안동시 풍산읍 풍산중앙길 99,,36.58024285,128.5722226,청사 주차장(실외),0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,경상북도 안동시 풍산읍행정복지센터,054-840-4016,2023-06-28,5070000,경상북도 안동시
경상북도 안동시 풍천면행정복지센터,경상북도,안동시,47170,경상북도 안동시 풍천면 지풍로 1471,,36.55606682,128.5067839,청사 주차장옆(실외),0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,경상북도 안동시 풍천면행정복지센터,054-840-4213,2023-06-28,5070000,경상북도 안동시
경상북도 안동시 일직면행정복지센터,경상북도,안동시,47170,경상북도 안동시 일직면 중앙통길 12,,36.47524838,128.6591933,청사 주차장옆(실외),0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,경상북도 안동시 일직면행정복지센터,054-840-4264,2023-06-28,5070000,경상북도 안동시
경상북도 안동시 명륜동행정복지센터,경상북도,안동시,47170,경상북도 안동시 퇴계로 221(안막동),,36.57675266,128.7329478,청사 주차장(실외),0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,경상북도 안동시 명륜동행정복지센터,054-840-4737,2023-06-28,5070000,경상북도 안동시
경상북도 안동시 안기동행정복지센터,경상북도,안동시,47170,경상북도 안동시 제비원로 355(안기동),,36.58293159,128.7143495,청사 출입구 옆(실외),0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,경상북도 안동시 안기동행정복지센터,054-840-4884,2023-06-28,5070000,경상북도 안동시
경상북도 안동시 옥동행정복지센터,경상북도,안동시,47170,경상북도 안동시 옥동3길 27(옥동),,36.56149818,128.7017549,청사 출입구 앞(실외),0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,경상북도 안동시 옥동행정복지센터,054-840-4933,2023-06-28,5070000,경상북도 안동시
경상북도 안동시 강남동행정복지센터,경상북도,안동시,47170,경상북도 안동시 강남5길 185(정하동),,36.54868473,128.7271185,청사 출입구 앞(실외),0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,경상북도 안동시 강남동행정복지센터,054-840-4979,2023-06-28,5070000,경상북도 안동시
대정읍사무소,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 대정읍 하모중앙로 20,제주특별자치도 서귀포시 대정읍 하모리 1413,33.22667697,126.2518133,실외 현관 좌측,9:00,18:00,0:00,0:00,0:00,0:00,2,Y,N,제주장애인자립생활센터,064-751-9103,2023-06-12,6500000,제주특별자치도
만석공원,경기도,수원시,41110,,경기도 수원시 장안구 송죽동 248,37.30211697,127.0000224,수원제2야외음악당(실외),0:00,23:59,0:00,23:59,0:00,23:59,2,Y,N,경기도 수원시청,031-228-2207,2023-06-16,3740000,경기도 수원시
밤밭노인복지관,경기도,수원시,41110,경기도 수원시 장안구 상률로 53(율전동),경기도 수원시 장안구 율전동 40-1,37.306384,126.972107,1층 출입구 앞(실외),6:00,21:00,7:00,17:00,0:00,0:00,2,Y,N,밤밭노인복지관,031-271-8859,2023-06-16,3740000,경기도 수원시
무봉종합사회복지관,경기도,수원시,41110,경기도 수원시 장안구 경수대로 754번길 26-17(연무동),경기도 수원시 장안구 연무동 256-2,37.291664,127.024005,1층 출입구 옆(실외),0:00,23:59,0:00,23:59,0:00,23:59,2,N,Y,무봉종합사회복지관,031-243-2852,2023-06-16,3740000,경기도 수원시
서호노인복지관,경기도,수원시,41110,경기도 수원시 권선구 구운로4번길 34(구운동),경기도 수원시 권선구 구운동 501,37.27849556,126.976192,후문(실외),0:00,23:59,0:00,0:00,0:00,23:59,2,Y,N,서호노인복지관,031-291-0911,2023-06-16,3740000,경기도 수원시
버드내노인복지관,경기도,수원시,41110,경기도 수원시 권선구 권선로564번길 36(세류동),경기도 수원시 권선구 세류동 483,37.261102,127.0120758,1층 전동휠체어 주차공간(실외),0:00,23:59,0:00,23:59,0:00,23:59,2,Y,N,버드내노인복지관,031-898-6544,2023-06-16,3740000,경기도 수원시
화성행궁,경기도,수원시,41110,경기도 수원시 팔달구 정조로 825(남창동),경기도 수원시 팔달구 남창동 6-2,37.28188202,127.014393,관광정보센터 옆(실외),0:00,23:59,0:00,23:59,0:00,23:59,2,Y,N,경기도 수원시청,031-228-2207,2023-06-16,3740000,경기도 수원시
서호공원,경기도,수원시,41110,,경기도 수원시 팔달구 화서동 436-1,37.27846408,126.9893443,화장실 앞(실외),0:00,23:59,0:00,23:59,0:00,23:59,2,Y,N,경기도 수원시청,031-228-2207,2023-06-16,3740000,경기도 수원시
행궁동주민센터,경기도,수원시,41110,경기도 수원시 팔달구 신풍로23번길 40(신풍동),경기도 수원시 팔달구 신풍동 100,37.284046,127.012646,옥외 주차장(실외),9:00,18:00,0:00,0:00,0:00,0:00,2,N,N,경기도 수원시 팔달구 행궁동주민센터,031-228-7822,2023-06-16,3740000,경기도 수원시
광교호수공원,경기도,수원시,41110,경기도 수원시 영통구 광교호수공원로 102(하동),경기도 수원시 영통구 하동 1023,37.275079,127.063804,관리사무소 입구(실외),0:00,23:59,0:00,23:59,0:00,23:59,2,Y,N,경기도 수원시 공원녹지사업소,031-228-4563,2023-06-16,3740000,경기도 수원시
벽적골공원,경기도,수원시,41110,"경기도 수원시 영통구 덕영대로1555번길 60, (영통동)",경기도 수원시 영통구 영통동 969-2,37.24861822,127.0618933,화장실 앞(실외),0:00,23:59,0:00,23:59,0:00,23:59,2,Y,N,경기도 수원시 영통구 영통2동 벽적골공원,031-228-8328,2023-06-16,3740000,경기도 수원시
매탄1동주민센터,경기도,수원시,41110,경기도 수원시 영통구 인계로189번길 119 (매탄동),경기도 수원시 영통구 매탄동 176-4,37.27050122,127.040526,1층 정문 입구(실외),0:00,23:59,0:00,23:59,0:00,23:59,2,N,N,경기도 수원시 영통구 매탄1동주민센터,031-228-8603,2023-06-16,3740000,경기도 수원시
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,"실외, 24시간",개수,,,,,,,,,,,,,,,,,,,
,,서귀포시: 1,1,,,,,,,,,,,,,,,,,,,
,,송파구: 1,1,,,,,,,,,,,,,,,,,,,
,,전주시: 1,1,,,,,,,,,,,,,,,,,,,
,,남양주시: 3,3,,,,,,,,,,,,,,,,,,,
,,중랑구: 4,4,,,,,,,,,,,,,,,,,,,
,,목포시: 7,7,,,,,,,,,,,,,,,,,,,
,,안동시: 10,10,,,,,,,,,,,,,,,,,,,
,,수원시: 11,11,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,공기질 측정기,934,,,,,,,,,,,,,,,,,,,,
,ATM 결합부스,710,,,,,,,,,,,,,,,,,,,,
,전기차 충전소,111,,,,,,,,,,,,,,,,,,,,
,휴대폰 배터리 대여소,103,,,,,,,,,,,,,,,,,,,,
,기가 와이파이존,78,,,,,,,,,,,,,,,,,,,,
,기타 방역부스,6,,,,,,,,,,,,,,,,,,,,
