"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
381-1-000001,가호1주차장,공영,노상,,경상남도 진주시 가호동 1407-4,26,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,300,10,100,0,0,30000,현금,,경상남도 진주시청,055-749-8725,35.161119,128.106514,2023-01-20
381-1-000003,가호3주차장,공영,노상,,경상남도 진주시 가좌동 1449,54,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,300,10,100,0,0,30000,현금,,경상남도 진주시청,055-749-8725,35.1581497,128.105212,2023-01-20
381-1-000004,강남1주차장,공영,노상,,경상남도 진주시 강남동 219,9,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.18092171,128.0893331,2023-01-20
381-1-000005,경찰서1주차장,공영,노상,,경상남도 진주시 중안동 10,8,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.192941,128.081311,2023-01-20
381-1-000006,경찰서2주차장,공영,노상,,경상남도 진주시 중안동 10,9,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.192941,128.081311,2023-01-20
381-1-000007,경찰서3주차장,공영,노상,,경상남도 진주시 중안동 10,13,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.192941,128.081311,2023-01-20
381-1-000008,계동1주차장,공영,노상,,경상남도 진주시 계동 84,58,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.196051,128.081906,2023-01-20
381-1-000009,계동2주차장,공영,노상,,경상남도 진주시 중안동 4,11,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.194692,128.0812226,2023-01-20
381-1-000011,본성1주차장,공영,노상,,경상남도 진주시 본성동 5,22,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.19214021,128.0832529,2023-01-20
381-1-000012,본성2주차장,공영,노상,,경상남도 진주시 본성동 5,19,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.192138,128.083253,2023-01-20
381-1-000013,본성3주차장,공영,노상,,경상남도 진주시 본성동 19,19,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.19129099,128.0818576,2023-01-20
381-1-000014,본성4주차장,공영,노상,,경상남도 진주시 본성동 19,10,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.19126436,128.0818576,2023-01-20
381-1-000015,본성5주차장,공영,노상,,경상남도 진주시 본성동 12-4,15,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.191716,128.081155,2023-01-20
381-1-000016,봉곡광장주차장,공영,노상,,경상남도 진주시 봉곡동 24-12,28,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.195848,128.076184,2023-01-20
381-1-000017,상대1주차장,공영,노상,,경상남도 진주시 상대동 299-6,13,1,미시행,평일+토요일+공휴일,08:00,21:00,08:00,21:00,08:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.180937,128.111964,2023-01-20
381-1-000018,상대2주차장,공영,노상,,경상남도 진주시 상대동238-1,33,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.184071,128.115548,2023-01-20
381-1-000019,상대3주차장,공영,노상,,경상남도 진주시 상대동 333,25,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.18253401,128.1138012,2023-01-20
381-1-000020,상대4주차장,공영,노상,,경상남도 진주시 상대동 331-1,76,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,300,10,100,0,0,30000,현금,,경상남도 진주시청,055-749-8725,35.18608843,128.1195717,2023-01-20
381-1-000021,상대5주차장,공영,노상,,경상남도 진주시 상대동 299-4,12,1,미시행,평일+토요일+공휴일,08:00,21:00,08:00,21:00,08:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.180108,128.111271,2023-01-20
381-1-000022,상대6주차장,공영,노상,,경상남도 진주시 상대동 276-9,19,1,미시행,평일+토요일+공휴일,08:00,21:00,08:00,21:00,08:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.180172,128.110349,2023-01-20
381-1-000023,상대7주차장,공영,노상,,경상남도 진주시 상대동 245-34,53,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.182306,128.113184,2023-01-20
381-1-000024,상봉1주차장,공영,노상,,경상남도 진주시 평안동 104,11,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.19722527,128.0826229,2023-01-20
381-1-000025,상봉2주차장,공영,노상,,경상남도 진주시 상봉동 987-3,29,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.199532,128.080515,2023-01-20
381-1-000026,상평1주차장,공영,노상,,경상남도 진주시 상대동 297-46,17,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.178563,128.105296,2023-01-20
381-1-000027,상평2주차장,공영,노상,,경상남도 진주시 상평동 219-25,50,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.178299,128.108216,2023-01-20
381-1-000028,상평3(구교육청앞)주차장,공영,노상,,경상남도 진주시 상평동 218-1,45,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.177647,128.110741,2023-01-20
381-1-000029,성지1주차장,공영,노상,,경상남도 진주시 중안동 181-3,19,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.194439,128.079192,2023-01-20
381-1-000031,수정1주차장,공영,노상,,경상남도 진주시 수정동 26-1,20,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.196805,128.086706,2023-01-20
381-1-000032,수정2주차장,공영,노상,,경상남도 진주시 장대동 56-3,15,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.195101,128.087891,2023-01-20
381-1-000033,신안1주차장,공영,노상,,경상남도 진주시 신안동 45,38,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.1870583,128.0705248,2023-01-20
381-1-000034,신안2주차장,공영,노상,,경상남도 진주시 신안동 63,57,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.18213217,128.0711191,2023-01-20
381-1-000035,신안3주차장,공영,노상,,경상남도 진주시 신안동 446-5,91,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,300,10,100,0,0,30000,현금,,경상남도 진주시청,055-749-8725,35.183124,128.0688994,2023-01-20
381-1-000036,신안4주차장,공영,노상,,경상남도 진주시 신안동 342,26,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,300,10,100,0,0,30000,현금,,경상남도 진주시청,055-749-8725,35.18130961,128.0695584,2023-01-20
381-1-000037,오죽광장주차장,공영,노상,,경상남도 진주시 인사동 179-10,29,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,300,10,100,0,0,30000,현금,,경상남도 진주시청,055-749-8725,35.193373,128.069331,2023-01-20
381-1-000038,옥봉1주차장,공영,노상,,경상남도 진주시 옥봉동 471-1,22,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.19697451,128.0874961,2023-01-20
381-2-000002,이현웰가아파트 앞 주차장,공영,노외,,경상남도 진주시 이현동 1183,16,2,미시행,평일+토요일+공휴일,09:00,19:00,09:00,19:00,09:00,19:00,유료,30,300,10,100,0,0,30000,카드,,경상남도 진주시청,055-749-8725,35.194001,128.059766,2023-01-20
381-1-000040,중안2주차장,공영,노상,,경상남도 진주시 중안동 7-3,13,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.193951,128.082574,2023-01-20
381-1-000041,중안3주차장,공영,노상,,경상남도 진주시 대안동 21,11,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.19207246,128.0847401,2023-01-20
381-1-000048,충무공1주차장,공영,노상,,경상남도 진주시 충무공동 280,10,1,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.17573195,128.1485146,2023-01-20
381-1-000049,충무공2주차장,공영,노상,,경상남도 진주시 충무공동 282-6,13,1,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.1754626,128.1477345,2023-01-20
381-1-000050,충무공3주차장,공영,노상,,경상남도 진주시 충무공동 282-5,13,1,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.17539558,128.1483395,2023-01-20
381-1-000051,충무공4주차장,공영,노상,,경상남도 진주시 충무공동 282-2,9,1,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.17614412,128.148101,2023-01-20
381-1-000042,평거1주차장,공영,노상,,경상남도 진주시 신안동 581-1,17,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.180034,128.065602,2023-01-20
381-1-000043,평거2주차장,공영,노상,,경상남도 진주시 신안동 582-1,18,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.178637,128.064552,2023-01-20
381-2-000003,평거3주차장,공영,노외,,경상남도 진주시 평거동 765,27,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,300,10,100,0,0,30000,현금+카드,,경상남도 진주시청,055-749-8725,35.173597,128.0657984,2023-01-20
381-2-000004,평거4주차장,공영,노외,,경상남도 진주시 평거동 197-1,52,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,300,10,100,0,0,30000,카드,,경상남도 진주시청,055-749-8725,35.174419,128.062024,2023-01-20
381-2-000006,평거6주차장,공영,노외,,경상남도 진주시 평거동 795-19,45,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,300,10,100,0,0,30000,카드,,경상남도 진주시청,055-749-8725,35.17022698,128.0646668,2023-01-20
381-1-000044,하대1주차장,공영,노상,,경상남도 진주시 하대동 310-2,56,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,300,10,100,0,0,30000,현금,,경상남도 진주시청,055-749-8725,35.19001133,128.1232312,2023-01-20
381-1-000045,하대2주차장,공영,노상,,경상남도 진주시 하대동 310-2,45,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,300,10,100,0,0,30000,현금,,경상남도 진주시청,055-749-8725,35.19001133,128.1232312,2023-01-20
381-1-000046,하대3주차장,공영,노상,,경상남도 진주시 하대동 346,38,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.190211,128.122233,2023-01-20
381-1-000047,하대4주차장,공영,노상,,경상남도 진주시 상대동 329-2,24,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.18361786,128.1191841,2023-01-20
381-1-000052,상대로1주차장,공영,노상,,경상남도 진주시 하대동 71-12,26,2,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,09:00,20:00,유료,30,300,10,100,0,0,30000,현금,,경상남도 진주시청,055-749-8725,35.1847231,128.1204149,2023-01-20
381-1-000053,상대로2주차장,공영,노상,,경상남도 진주시 하대동 322-28,97,2,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,09:00,20:00,유료,30,300,10,100,0,0,30000,현금,,경상남도 진주시청,055-749-8725,35.19203228,128.1209676,2023-01-20
381-2-000001,장대동 공영주차타워,공영,노외,,경상남도 진주시 장대로 6,44,1,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,09:00,20:00,유료,30,500,10,200,0,0,75000,카드,,경상남도 진주시청,055-749-8725,35.19205397,128.0889487,2023-01-20
381-2-000005,평거동 공영주차타워,공영,노외,,경상남도 진주시 평거동 202-1,107,1,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,09:00,20:00,유료,30,500,10,200,0,0,75000,카드,,경상남도 진주시청,055-749-8725,35.1722862,128.0619921,2023-01-20
381-2-000006,신안동주차장,공영,노외,,경상남도 진주시 신안동 442-11,27,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,카드,,경상남도 진주시청,055-749-8725,35.1832349,128.069423,2023-01-20
381-2-000007,일호광장주차장,공영,노외,,경상남도 진주시 주약동 182-6,47,1,미시행,평일+토요일+공휴일,08:00,21:00,08:00,21:00,08:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.1783327,128.090578,2023-01-20
381-1-000054,하대5주차장,공영,노상,,경상남도 진주시 하대동 137-22,13,1,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,09:00,21:00,유료,30,500,10,200,0,0,75000,현금,,경상남도 진주시청,055-749-8725,35.1857233,128.122196,2023-01-20
